['options.ckptDir: newDefault', 'options.maxDepth: 6', 'options.cnnLR: 0.001', 'options.mlpLR: 0.001', 'options.cnnEpochs: 71', 'options.mlpEpochs: 60', 'options.cnnOut: 32', 'options.mlpFC1: 512', 'options.mlpFC2: 32', 'options.trainFlg: True']
trainData_size: 50000
==> Preparing data...
Files already downloaded and verified
Files already downloaded and verified
len(trainInputDict["data"]):  50000 ,  len(valInputDict["data"]):  0 ,  len(testInputDict["data"]):  10000
nodeId:  1 , imgTensorShape :  torch.Size([50000, 3, 32, 32])
nodeId: 1 ,  parentId: 0 ,  level: 0 ,  lchildId: -1 ,  rchildId: -1 ,  isLeaf: False ,  leafClass: -1 ,  numClasses: 10 ,  numData: 50000
Running nodeId:  1
0 Train Loss: 320.752 | Train Acc: 43.992 
1 Train Loss: 264.624 | Train Acc: 54.006 
2 Train Loss: 244.529 | Train Acc: 57.656 
3 Train Loss: 228.969 | Train Acc: 60.488 
4 Train Loss: 215.682 | Train Acc: 62.974 
5 Train Loss: 204.113 | Train Acc: 65.078 
6 Train Loss: 192.715 | Train Acc: 67.128 
7 Train Loss: 185.840 | Train Acc: 68.212 
8 Train Loss: 177.870 | Train Acc: 69.792 
9 Train Loss: 171.194 | Train Acc: 70.844 
10 Train Loss: 154.208 | Train Acc: 74.342 
11 Train Loss: 150.696 | Train Acc: 75.154 
12 Train Loss: 148.734 | Train Acc: 75.346 
13 Train Loss: 145.571 | Train Acc: 76.092 
14 Train Loss: 143.866 | Train Acc: 76.404 
15 Train Loss: 141.749 | Train Acc: 76.720 
16 Train Loss: 140.381 | Train Acc: 76.820 
17 Train Loss: 138.008 | Train Acc: 77.294 
18 Train Loss: 136.300 | Train Acc: 77.584 
19 Train Loss: 133.646 | Train Acc: 78.058 
20 Train Loss: 126.826 | Train Acc: 79.736 
21 Train Loss: 126.111 | Train Acc: 79.820 
22 Train Loss: 125.073 | Train Acc: 80.074 
23 Train Loss: 124.369 | Train Acc: 80.122 
24 Train Loss: 123.634 | Train Acc: 80.306 
25 Train Loss: 123.096 | Train Acc: 80.284 
26 Train Loss: 122.305 | Train Acc: 80.468 
27 Train Loss: 121.524 | Train Acc: 80.718 
28 Train Loss: 120.755 | Train Acc: 80.788 
29 Train Loss: 119.864 | Train Acc: 81.032 
30 Train Loss: 117.362 | Train Acc: 81.618 
31 Train Loss: 117.155 | Train Acc: 81.576 
32 Train Loss: 116.817 | Train Acc: 81.778 
33 Train Loss: 116.515 | Train Acc: 81.662 
34 Train Loss: 116.209 | Train Acc: 81.790 
35 Train Loss: 115.890 | Train Acc: 81.808 
36 Train Loss: 115.671 | Train Acc: 81.886 
37 Train Loss: 115.490 | Train Acc: 81.910 
38 Train Loss: 115.165 | Train Acc: 82.010 
39 Train Loss: 114.874 | Train Acc: 82.062 
40 Train Loss: 113.796 | Train Acc: 82.294 
41 Train Loss: 113.643 | Train Acc: 82.332 
42 Train Loss: 113.549 | Train Acc: 82.352 
43 Train Loss: 113.436 | Train Acc: 82.408 
44 Train Loss: 113.404 | Train Acc: 82.316 
45 Train Loss: 113.241 | Train Acc: 82.438 
46 Train Loss: 113.094 | Train Acc: 82.404 
47 Train Loss: 112.991 | Train Acc: 82.520 
48 Train Loss: 112.945 | Train Acc: 82.464 
49 Train Loss: 112.823 | Train Acc: 82.542 
50 Train Loss: 112.411 | Train Acc: 82.578 
51 Train Loss: 112.348 | Train Acc: 82.584 
52 Train Loss: 112.291 | Train Acc: 82.636 
53 Train Loss: 112.257 | Train Acc: 82.680 
54 Train Loss: 112.221 | Train Acc: 82.652 
55 Train Loss: 112.180 | Train Acc: 82.614 
56 Train Loss: 112.162 | Train Acc: 82.666 
57 Train Loss: 112.106 | Train Acc: 82.696 
58 Train Loss: 112.071 | Train Acc: 82.744 
59 Train Loss: 112.022 | Train Acc: 82.648 
60 Train Loss: 111.878 | Train Acc: 82.730 
61 Train Loss: 111.864 | Train Acc: 82.730 
62 Train Loss: 111.842 | Train Acc: 82.738 
63 Train Loss: 111.824 | Train Acc: 82.762 
64 Train Loss: 111.811 | Train Acc: 82.720 
65 Train Loss: 111.798 | Train Acc: 82.748 
66 Train Loss: 111.790 | Train Acc: 82.734 
67 Train Loss: 111.763 | Train Acc: 82.754 
68 Train Loss: 111.759 | Train Acc: 82.726 
69 Train Loss: 111.746 | Train Acc: 82.778 
70 Train Loss: 111.677 | Train Acc: 82.780 
CNN trained successfully...
