['options.trainFlg:True', ' options.testFlg:True', ' options.maxDepth:6', ' options.ckptDir:newFD', ' options.cnnOut:32', ' options.mlpFC1:512', ' options.mlpFC2:32', ' options.cnnLR:0.001', ' options.mlpLR:0.001', ' options.cnnEpochs:71', ' options.mlpEpochs:60', ' options.cnnSchEpochs:10', ' options.mlpSchEpochs:10', ' options.cnnSchFactor:0.37', ' options.mlpSchFactor:0.4', ' options.cnnBatches:100', ' options.mlpBatches:100', ' options.caseNum:2', ' options.optionNum:1', ' options.ensemble:1', ' options.probabilistic:False', ' options.verbose:2']
trainData_size: 50000
==> Preparing data...
Files already downloaded and verified
Files already downloaded and verified
len(trainInputDict["data"]):  50000 ,  len(valInputDict["data"]):  0 ,  len(testInputDict["data"]):  10000

TRAINING STARTS
Setting Input for nodeId: 1...
imgTensorShape :  torch.Size([50000, 3, 32, 32])
nodeId: 1 ,  parentId: 0 ,  level: 0 ,  lchildId: -1 ,  rchildId: -1 ,  isLeaf: False ,  leafClass: -1 ,  numClasses: 10 ,  numData: 50000
Running nodeId:  1
0 Train Loss: 174.732 | Train Acc: 39.208 
1 Train Loss: 143.189 | Train Acc: 49.990 
2 Train Loss: 130.336 | Train Acc: 54.628 
3 Train Loss: 121.610 | Train Acc: 57.672 
4 Train Loss: 115.322 | Train Acc: 60.020 
5 Train Loss: 109.278 | Train Acc: 62.338 
6 Train Loss: 104.849 | Train Acc: 63.978 
7 Train Loss: 101.134 | Train Acc: 65.382 
8 Train Loss: 97.308 | Train Acc: 66.468 
9 Train Loss: 93.527 | Train Acc: 68.014 
10 Train Loss: 87.909 | Train Acc: 70.386 
11 Train Loss: 86.828 | Train Acc: 70.730 
12 Train Loss: 85.454 | Train Acc: 71.230 
13 Train Loss: 84.813 | Train Acc: 71.390 
14 Train Loss: 84.318 | Train Acc: 71.644 
15 Train Loss: 82.589 | Train Acc: 72.186 
16 Train Loss: 81.917 | Train Acc: 72.442 
17 Train Loss: 81.125 | Train Acc: 72.706 
18 Train Loss: 80.440 | Train Acc: 72.980 
19 Train Loss: 79.158 | Train Acc: 73.496 
20 Train Loss: 77.037 | Train Acc: 74.360 
21 Train Loss: 76.814 | Train Acc: 74.586 
22 Train Loss: 76.486 | Train Acc: 74.594 
23 Train Loss: 76.087 | Train Acc: 74.776 
24 Train Loss: 75.771 | Train Acc: 74.950 
25 Train Loss: 75.634 | Train Acc: 74.890 
26 Train Loss: 75.215 | Train Acc: 75.072 
27 Train Loss: 74.997 | Train Acc: 75.078 
28 Train Loss: 74.774 | Train Acc: 75.170 
29 Train Loss: 74.342 | Train Acc: 75.388 
30 Train Loss: 73.389 | Train Acc: 75.888 
31 Train Loss: 73.289 | Train Acc: 75.900 
32 Train Loss: 73.121 | Train Acc: 75.844 
33 Train Loss: 73.032 | Train Acc: 75.958 
34 Train Loss: 72.903 | Train Acc: 76.086 
35 Train Loss: 72.838 | Train Acc: 76.044 
36 Train Loss: 72.720 | Train Acc: 76.090 
37 Train Loss: 72.580 | Train Acc: 76.116 
38 Train Loss: 72.437 | Train Acc: 76.284 
39 Train Loss: 72.372 | Train Acc: 76.242 
40 Train Loss: 71.953 | Train Acc: 76.438 
41 Train Loss: 71.895 | Train Acc: 76.468 
42 Train Loss: 71.848 | Train Acc: 76.474 
43 Train Loss: 71.803 | Train Acc: 76.524 
44 Train Loss: 71.755 | Train Acc: 76.478 
45 Train Loss: 71.729 | Train Acc: 76.518 
46 Train Loss: 71.675 | Train Acc: 76.552 
47 Train Loss: 71.602 | Train Acc: 76.508 
48 Train Loss: 71.583 | Train Acc: 76.526 
49 Train Loss: 71.551 | Train Acc: 76.590 
50 Train Loss: 71.383 | Train Acc: 76.640 
51 Train Loss: 71.354 | Train Acc: 76.720 
52 Train Loss: 71.344 | Train Acc: 76.662 
53 Train Loss: 71.335 | Train Acc: 76.668 
54 Train Loss: 71.313 | Train Acc: 76.674 
55 Train Loss: 71.290 | Train Acc: 76.706 
56 Train Loss: 71.277 | Train Acc: 76.702 
57 Train Loss: 71.263 | Train Acc: 76.722 
58 Train Loss: 71.243 | Train Acc: 76.712 
59 Train Loss: 71.222 | Train Acc: 76.722 
60 Train Loss: 71.167 | Train Acc: 76.754 
61 Train Loss: 71.158 | Train Acc: 76.740 
62 Train Loss: 71.155 | Train Acc: 76.740 
63 Train Loss: 71.148 | Train Acc: 76.722 
64 Train Loss: 71.139 | Train Acc: 76.776 
65 Train Loss: 71.133 | Train Acc: 76.752 
66 Train Loss: 71.127 | Train Acc: 76.732 
67 Train Loss: 71.121 | Train Acc: 76.816 
68 Train Loss: 71.110 | Train Acc: 76.786 
69 Train Loss: 71.105 | Train Acc: 76.724 
70 Train Loss: 71.087 | Train Acc: 76.750 
CNN trained successfully...
Time Taken during Training CNN:  113.38093709945679
image_next_flat.shape :  torch.Size([50000, 25088])
Time Taken by Kmeans is  13.60083532333374
Kmeans completed successfully...
printing expected split from k means
{6: 0, 4: 0, 1: 0, 2: 0, 7: 0, 3: 0, 9: 1, 5: 0, 0: 1, 8: 1}
Printing final_dict items...
{6: 0, 5: 0, 4: 0, 3: 0, 7: 0, 2: 1, 1: 1, 9: 1, 0: 1, 8: 1}
Image Statistics before Model Training : L R :  25000 25000
expectedModelLabels.shape :  torch.Size([50000])
0 Loss: 40.658 | Acc: 81.620
1 Loss: 34.971 | Acc: 84.698
2 Loss: 33.059 | Acc: 85.740
3 Loss: 30.716 | Acc: 86.590
4 Loss: 28.827 | Acc: 87.494
5 Loss: 28.007 | Acc: 87.856
6 Loss: 26.076 | Acc: 88.546
7 Loss: 24.366 | Acc: 89.482
8 Loss: 23.637 | Acc: 89.822
9 Loss: 21.985 | Acc: 90.512
10 Loss: 18.943 | Acc: 91.852
11 Loss: 17.536 | Acc: 92.630
12 Loss: 16.137 | Acc: 93.108
13 Loss: 15.570 | Acc: 93.514
14 Loss: 14.435 | Acc: 93.970
15 Loss: 14.105 | Acc: 94.120
16 Loss: 13.144 | Acc: 94.694
17 Loss: 12.616 | Acc: 94.766
18 Loss: 11.725 | Acc: 95.216
