['options.trainFlg:True', ' options.testFlg:True', ' options.maxDepth:6', ' options.ckptDir:newFD_ENS', ' options.cnnOut:32', ' options.mlpFC1:512', ' options.mlpFC2:32', ' options.cnnLR:0.001', ' options.mlpLR:0.001', ' options.cnnEpochs:71', ' options.mlpEpochs:60', ' options.cnnSchEpochs:10', ' options.mlpSchEpochs:10', ' options.cnnSchFactor:0.37', ' options.mlpSchFactor:0.4', ' options.cnnBatches:100', ' options.mlpBatches:100', ' options.caseNum:2', ' options.optionNum:1', ' options.ensemble:10', ' options.probabilistic:False', ' options.verbose:2']
trainData_size: 5000
==> Preparing data...
Files already downloaded and verified
Files already downloaded and verified
len(trainInputDict["data"]):  5000 ,  len(valInputDict["data"]):  0 ,  len(testInputDict["data"]):  10000

TRAINING STARTS
Setting Input for nodeId: 1...
imgTensorShape :  torch.Size([5000, 3, 32, 32])
nodeId: 1 ,  parentId: 0 ,  level: 0 ,  lchildId: -1 ,  rchildId: -1 ,  isLeaf: False ,  leafClass: -1 ,  numClasses: 10 ,  numData: 5000
Running nodeId:  1
0 Train Loss: 191.454 | Train Acc: 32.960 
1 Train Loss: 150.256 | Train Acc: 47.400 
2 Train Loss: 130.444 | Train Acc: 55.480 
3 Train Loss: 113.782 | Train Acc: 61.460 
4 Train Loss: 101.660 | Train Acc: 65.600 
5 Train Loss: 90.808 | Train Acc: 70.340 
6 Train Loss: 77.943 | Train Acc: 75.360 
7 Train Loss: 70.093 | Train Acc: 78.780 
8 Train Loss: 61.263 | Train Acc: 81.880 
9 Train Loss: 52.612 | Train Acc: 85.040 
10 Train Loss: 39.079 | Train Acc: 91.140 
11 Train Loss: 35.183 | Train Acc: 92.660 
12 Train Loss: 33.051 | Train Acc: 93.380 
13 Train Loss: 30.737 | Train Acc: 94.480 
14 Train Loss: 28.981 | Train Acc: 95.160 
15 Train Loss: 26.620 | Train Acc: 96.060 
16 Train Loss: 24.676 | Train Acc: 96.480 
17 Train Loss: 22.863 | Train Acc: 96.840 
18 Train Loss: 21.157 | Train Acc: 97.360 
19 Train Loss: 19.763 | Train Acc: 97.660 
20 Train Loss: 17.024 | Train Acc: 98.500 
21 Train Loss: 16.371 | Train Acc: 98.500 
22 Train Loss: 15.939 | Train Acc: 98.540 
23 Train Loss: 15.514 | Train Acc: 98.560 
24 Train Loss: 15.064 | Train Acc: 98.580 
25 Train Loss: 14.657 | Train Acc: 98.900 
26 Train Loss: 14.231 | Train Acc: 98.900 
27 Train Loss: 13.765 | Train Acc: 98.980 
28 Train Loss: 13.257 | Train Acc: 99.120 
29 Train Loss: 12.779 | Train Acc: 99.240 
30 Train Loss: 12.128 | Train Acc: 99.340 
31 Train Loss: 11.902 | Train Acc: 99.420 
32 Train Loss: 11.784 | Train Acc: 99.400 
33 Train Loss: 11.621 | Train Acc: 99.360 
34 Train Loss: 11.518 | Train Acc: 99.400 
35 Train Loss: 11.303 | Train Acc: 99.400 
36 Train Loss: 11.211 | Train Acc: 99.400 
37 Train Loss: 11.097 | Train Acc: 99.340 
38 Train Loss: 10.913 | Train Acc: 99.440 
39 Train Loss: 10.747 | Train Acc: 99.440 
40 Train Loss: 10.444 | Train Acc: 99.480 
41 Train Loss: 10.387 | Train Acc: 99.460 
42 Train Loss: 10.333 | Train Acc: 99.440 
43 Train Loss: 10.266 | Train Acc: 99.440 
44 Train Loss: 10.215 | Train Acc: 99.480 
45 Train Loss: 10.165 | Train Acc: 99.480 
46 Train Loss: 10.107 | Train Acc: 99.480 
47 Train Loss: 10.042 | Train Acc: 99.480 
48 Train Loss: 9.997 | Train Acc: 99.500 
49 Train Loss: 9.935 | Train Acc: 99.500 
50 Train Loss: 9.823 | Train Acc: 99.500 
51 Train Loss: 9.796 | Train Acc: 99.520 
52 Train Loss: 9.767 | Train Acc: 99.540 
53 Train Loss: 9.752 | Train Acc: 99.520 
54 Train Loss: 9.737 | Train Acc: 99.560 
55 Train Loss: 9.722 | Train Acc: 99.520 
56 Train Loss: 9.688 | Train Acc: 99.560 
57 Train Loss: 9.663 | Train Acc: 99.560 
58 Train Loss: 9.643 | Train Acc: 99.540 
59 Train Loss: 9.629 | Train Acc: 99.560 
60 Train Loss: 9.569 | Train Acc: 99.560 
61 Train Loss: 9.560 | Train Acc: 99.560 
62 Train Loss: 9.553 | Train Acc: 99.580 
63 Train Loss: 9.545 | Train Acc: 99.540 
64 Train Loss: 9.536 | Train Acc: 99.560 
65 Train Loss: 9.528 | Train Acc: 99.580 
66 Train Loss: 9.521 | Train Acc: 99.580 
67 Train Loss: 9.513 | Train Acc: 99.560 
68 Train Loss: 9.503 | Train Acc: 99.580 
69 Train Loss: 9.493 | Train Acc: 99.580 
70 Train Loss: 9.474 | Train Acc: 99.560 
CNN trained successfully...
Time Taken during Training CNN:  26.403928756713867  seconds.
image_next_flat.shape :  torch.Size([5000, 25088])
Time Taken by Kmeans is  1.7955217361450195
Kmeans completed successfully...
printing expected split from k means
{1: 1, 8: 0, 7: 1, 9: 1, 4: 1, 0: 0, 3: 1, 2: 1, 5: 1, 6: 1}
Printing final_dict items...
{8: 0, 0: 0, 9: 0, 1: 0, 2: 0, 4: 1, 7: 1, 3: 1, 5: 1, 6: 1}
Image Statistics before Model Training : L R :  2502 2498
expectedModelLabels.shape :  torch.Size([5000])
0 Loss: 49.613 | Acc: 77.040
1 Loss: 39.794 | Acc: 81.740
2 Loss: 36.427 | Acc: 83.460
3 Loss: 33.275 | Acc: 85.000
4 Loss: 30.245 | Acc: 86.800
5 Loss: 27.940 | Acc: 87.260
6 Loss: 25.394 | Acc: 88.880
7 Loss: 22.356 | Acc: 90.300
8 Loss: 18.172 | Acc: 92.040
9 Loss: 16.821 | Acc: 93.020
10 Loss: 10.871 | Acc: 95.820
11 Loss: 8.384 | Acc: 96.900
12 Loss: 7.599 | Acc: 97.280
13 Loss: 5.872 | Acc: 97.900
14 Loss: 3.948 | Acc: 98.540
15 Loss: 4.186 | Acc: 98.520
16 Loss: 3.839 | Acc: 98.560
17 Loss: 4.208 | Acc: 98.400
