

==> Preparing data..
Files already downloaded and verified
0 Loss: 2.363 | Acc: 9.890
1 Loss: 2.361 | Acc: 13.380
2 Loss: 2.284 | Acc: 17.770
3 Loss: 2.196 | Acc: 19.340
4 Loss: 2.178 | Acc: 18.970
5 Loss: 2.174 | Acc: 19.670
6 Loss: 2.150 | Acc: 21.630
7 Loss: 2.128 | Acc: 23.310
8 Loss: 2.118 | Acc: 23.450
9 Loss: 2.114 | Acc: 23.280
10 Loss: 2.107 | Acc: 23.640
11 Loss: 2.094 | Acc: 24.540
12 Loss: 2.081 | Acc: 25.390
13 Loss: 2.071 | Acc: 26.650
14 Loss: 2.064 | Acc: 27.380
15 Loss: 2.058 | Acc: 27.890
16 Loss: 2.051 | Acc: 28.380
17 Loss: 2.043 | Acc: 28.710
18 Loss: 2.034 | Acc: 29.480
19 Loss: 2.025 | Acc: 29.540
20 Loss: 2.017 | Acc: 30.010
21 Loss: 2.009 | Acc: 30.220
22 Loss: 2.001 | Acc: 31.020
23 Loss: 1.991 | Acc: 31.380
24 Loss: 1.983 | Acc: 31.410
25 Loss: 1.974 | Acc: 31.830
26 Loss: 1.965 | Acc: 32.030
27 Loss: 1.955 | Acc: 32.340
28 Loss: 1.944 | Acc: 32.840
29 Loss: 1.934 | Acc: 33.360
30 Loss: 1.924 | Acc: 33.690
31 Loss: 1.915 | Acc: 34.280
32 Loss: 1.905 | Acc: 34.600
33 Loss: 1.894 | Acc: 35.080
34 Loss: 1.883 | Acc: 35.280
35 Loss: 1.873 | Acc: 35.620
36 Loss: 1.864 | Acc: 35.840
37 Loss: 1.855 | Acc: 36.140
38 Loss: 1.845 | Acc: 36.550
39 Loss: 1.835 | Acc: 36.980
40 Loss: 1.826 | Acc: 37.600
41 Loss: 1.818 | Acc: 38.010
42 Loss: 1.810 | Acc: 38.260
43 Loss: 1.802 | Acc: 38.620
44 Loss: 1.794 | Acc: 38.960
45 Loss: 1.786 | Acc: 39.350
46 Loss: 1.779 | Acc: 39.550
47 Loss: 1.771 | Acc: 39.790
48 Loss: 1.764 | Acc: 39.860
49 Loss: 1.757 | Acc: 40.170
50 Loss: 1.749 | Acc: 40.540
51 Loss: 1.742 | Acc: 40.930
52 Loss: 1.734 | Acc: 41.300
53 Loss: 1.726 | Acc: 41.490
54 Loss: 1.719 | Acc: 41.630
55 Loss: 1.711 | Acc: 41.940
56 Loss: 1.704 | Acc: 42.160
57 Loss: 1.696 | Acc: 42.340
58 Loss: 1.689 | Acc: 42.540
59 Loss: 1.682 | Acc: 42.800
60 Loss: 1.675 | Acc: 43.230
61 Loss: 1.668 | Acc: 43.340
62 Loss: 1.661 | Acc: 43.610
63 Loss: 1.654 | Acc: 43.780
64 Loss: 1.648 | Acc: 44.020
65 Loss: 1.641 | Acc: 44.240
66 Loss: 1.635 | Acc: 44.560
67 Loss: 1.629 | Acc: 44.720
68 Loss: 1.623 | Acc: 44.920
69 Loss: 1.617 | Acc: 45.110
70 Loss: 1.611 | Acc: 45.280
71 Loss: 1.605 | Acc: 45.490
72 Loss: 1.599 | Acc: 45.640
73 Loss: 1.594 | Acc: 45.790
74 Loss: 1.588 | Acc: 45.870
75 Loss: 1.583 | Acc: 45.970
76 Loss: 1.577 | Acc: 46.140
77 Loss: 1.572 | Acc: 46.210
78 Loss: 1.567 | Acc: 46.320
79 Loss: 1.561 | Acc: 46.540
80 Loss: 1.556 | Acc: 46.720
81 Loss: 1.551 | Acc: 46.850
82 Loss: 1.546 | Acc: 46.990
83 Loss: 1.542 | Acc: 47.120
84 Loss: 1.537 | Acc: 47.280
85 Loss: 1.532 | Acc: 47.440
86 Loss: 1.528 | Acc: 47.580
87 Loss: 1.523 | Acc: 47.670
88 Loss: 1.518 | Acc: 47.790
89 Loss: 1.514 | Acc: 47.910
90 Loss: 1.510 | Acc: 48.020
91 Loss: 1.505 | Acc: 48.150
92 Loss: 1.501 | Acc: 48.290
93 Loss: 1.497 | Acc: 48.440
94 Loss: 1.493 | Acc: 48.560
95 Loss: 1.489 | Acc: 48.730
96 Loss: 1.484 | Acc: 48.970
97 Loss: 1.480 | Acc: 49.130
98 Loss: 1.477 | Acc: 49.230
99 Loss: 1.473 | Acc: 49.470
100 Loss: 1.469 | Acc: 49.560
101 Loss: 1.465 | Acc: 49.770
102 Loss: 1.461 | Acc: 49.820
103 Loss: 1.457 | Acc: 50.020
104 Loss: 1.454 | Acc: 50.130
105 Loss: 1.450 | Acc: 50.340
106 Loss: 1.447 | Acc: 50.430
107 Loss: 1.443 | Acc: 50.550
108 Loss: 1.439 | Acc: 50.580
109 Loss: 1.436 | Acc: 50.600
110 Loss: 1.433 | Acc: 50.760
111 Loss: 1.429 | Acc: 50.920
112 Loss: 1.426 | Acc: 51.020
113 Loss: 1.422 | Acc: 51.150
114 Loss: 1.419 | Acc: 51.320
115 Loss: 1.416 | Acc: 51.440
116 Loss: 1.413 | Acc: 51.510
117 Loss: 1.409 | Acc: 51.570
118 Loss: 1.406 | Acc: 51.660
119 Loss: 1.403 | Acc: 51.770
120 Loss: 1.400 | Acc: 51.870
121 Loss: 1.397 | Acc: 51.930
122 Loss: 1.394 | Acc: 52.050
123 Loss: 1.391 | Acc: 52.210
124 Loss: 1.388 | Acc: 52.310
125 Loss: 1.385 | Acc: 52.450
126 Loss: 1.382 | Acc: 52.630
127 Loss: 1.379 | Acc: 52.620
128 Loss: 1.376 | Acc: 52.770
129 Loss: 1.373 | Acc: 52.840
130 Loss: 1.371 | Acc: 52.870
131 Loss: 1.368 | Acc: 52.970
132 Loss: 1.365 | Acc: 53.030
133 Loss: 1.362 | Acc: 53.020
134 Loss: 1.359 | Acc: 53.040
135 Loss: 1.357 | Acc: 53.150
136 Loss: 1.354 | Acc: 53.280
137 Loss: 1.351 | Acc: 53.430
138 Loss: 1.349 | Acc: 53.460
139 Loss: 1.346 | Acc: 53.540
140 Loss: 1.343 | Acc: 53.560
141 Loss: 1.341 | Acc: 53.690
142 Loss: 1.338 | Acc: 53.810
143 Loss: 1.335 | Acc: 53.870
144 Loss: 1.333 | Acc: 53.960
145 Loss: 1.330 | Acc: 54.060
146 Loss: 1.328 | Acc: 54.240
147 Loss: 1.325 | Acc: 54.370
148 Loss: 1.322 | Acc: 54.500
149 Loss: 1.320 | Acc: 54.640
150 Loss: 1.317 | Acc: 54.810
151 Loss: 1.315 | Acc: 54.910
152 Loss: 1.312 | Acc: 54.930
153 Loss: 1.310 | Acc: 54.940
154 Loss: 1.308 | Acc: 54.970
155 Loss: 1.305 | Acc: 55.060
156 Loss: 1.303 | Acc: 55.080
157 Loss: 1.300 | Acc: 55.170
158 Loss: 1.298 | Acc: 55.260
159 Loss: 1.295 | Acc: 55.210
160 Loss: 1.293 | Acc: 55.280
161 Loss: 1.291 | Acc: 55.400
162 Loss: 1.288 | Acc: 55.510
