==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
len(trainInputDict["data"]):  49900 ,  len(valInputDict["data"]):  10 ,  len(testInputDict["data"]):  10000
nodeId:  1 , imgTensorShape :  torch.Size([49900, 3, 32, 32])
nodeId: 1 ,  parentId: 0 ,  level: 0 ,  lchildId: -1 ,  rchildId: -1 ,  isLeaf: False ,  leafClass: -1 ,  numClasses: 10
Running nodeId:  1
0 Train Loss: 187.110 | Train Acc: 34.275
1 Train Loss: 157.035 | Train Acc: 45.443
2 Train Loss: 141.754 | Train Acc: 50.170
3 Train Loss: 134.632 | Train Acc: 52.645
4 Train Loss: 129.678 | Train Acc: 54.291
5 Train Loss: 126.913 | Train Acc: 55.451
6 Train Loss: 123.383 | Train Acc: 56.922
7 Train Loss: 120.507 | Train Acc: 57.910
8 Train Loss: 117.698 | Train Acc: 59.034
9 Train Loss: 116.116 | Train Acc: 59.399
10 Train Loss: 113.129 | Train Acc: 60.701
11 Train Loss: 111.212 | Train Acc: 61.335
12 Train Loss: 108.687 | Train Acc: 62.349
13 Train Loss: 106.959 | Train Acc: 62.948
14 Train Loss: 104.640 | Train Acc: 63.802
15 Train Loss: 102.367 | Train Acc: 64.637
16 Train Loss: 100.985 | Train Acc: 65.184
17 Train Loss: 99.953 | Train Acc: 65.437
18 Train Loss: 97.423 | Train Acc: 66.289
19 Train Loss: 96.171 | Train Acc: 66.806
20 Train Loss: 94.437 | Train Acc: 67.459
21 Train Loss: 93.553 | Train Acc: 67.685
22 Train Loss: 91.860 | Train Acc: 68.533
23 Train Loss: 91.416 | Train Acc: 68.467
24 Train Loss: 89.901 | Train Acc: 69.084
25 Train Loss: 86.133 | Train Acc: 70.617
26 Train Loss: 85.226 | Train Acc: 71.160
27 Train Loss: 84.708 | Train Acc: 71.176
28 Train Loss: 84.451 | Train Acc: 71.194
29 Train Loss: 83.964 | Train Acc: 71.521
30 Train Loss: 83.934 | Train Acc: 71.389
31 Train Loss: 83.039 | Train Acc: 71.772
32 Train Loss: 82.791 | Train Acc: 71.846
33 Train Loss: 82.241 | Train Acc: 72.156
34 Train Loss: 81.690 | Train Acc: 72.333
35 Train Loss: 81.253 | Train Acc: 72.467
36 Train Loss: 81.102 | Train Acc: 72.373
37 Train Loss: 80.883 | Train Acc: 72.495
38 Train Loss: 80.341 | Train Acc: 72.830
39 Train Loss: 80.102 | Train Acc: 72.880
40 Train Loss: 79.367 | Train Acc: 73.062
41 Train Loss: 79.115 | Train Acc: 73.192
42 Train Loss: 78.797 | Train Acc: 73.299
43 Train Loss: 78.574 | Train Acc: 73.477
44 Train Loss: 77.924 | Train Acc: 73.533
45 Train Loss: 77.485 | Train Acc: 73.719
46 Train Loss: 77.677 | Train Acc: 73.583
47 Train Loss: 76.894 | Train Acc: 73.988
48 Train Loss: 76.650 | Train Acc: 73.996
49 Train Loss: 76.163 | Train Acc: 74.353
50 Train Loss: 74.666 | Train Acc: 74.896
51 Train Loss: 74.436 | Train Acc: 75.106
52 Train Loss: 74.392 | Train Acc: 75.124
53 Train Loss: 74.104 | Train Acc: 75.122
54 Train Loss: 73.969 | Train Acc: 75.170
55 Train Loss: 73.857 | Train Acc: 75.375
56 Train Loss: 73.655 | Train Acc: 75.337
57 Train Loss: 73.597 | Train Acc: 75.275
58 Train Loss: 73.400 | Train Acc: 75.507
59 Train Loss: 73.442 | Train Acc: 75.389
60 Train Loss: 73.212 | Train Acc: 75.433
61 Train Loss: 73.046 | Train Acc: 75.551
62 Train Loss: 72.940 | Train Acc: 75.539
63 Train Loss: 72.763 | Train Acc: 75.565
64 Train Loss: 72.764 | Train Acc: 75.629
