==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
len(trainInputDict["data"]):  49900 ,  len(valInputDict["data"]):  10 ,  len(testInputDict["data"]):  10000
nodeId:  1 , imgTensorShape :  torch.Size([49900, 3, 32, 32])
nodeId: 1 ,  parentId: 0 ,  level: 0 ,  lchildId: -1 ,  rchildId: -1 ,  isLeaf: False ,  leafClass: -1 ,  numClasses: 10
Running nodeId:  1
0 Train Loss: 191.093 | Train Acc: 32.343
1 Train Loss: 154.737 | Train Acc: 45.313
2 Train Loss: 140.636 | Train Acc: 50.317
3 Train Loss: 135.168 | Train Acc: 52.317
4 Train Loss: 131.263 | Train Acc: 53.639
5 Train Loss: 126.479 | Train Acc: 55.319
6 Train Loss: 124.911 | Train Acc: 56.032
7 Train Loss: 121.084 | Train Acc: 57.210
8 Train Loss: 119.092 | Train Acc: 58.070
9 Train Loss: 115.582 | Train Acc: 59.140
10 Train Loss: 112.902 | Train Acc: 60.253
11 Train Loss: 111.555 | Train Acc: 60.667
12 Train Loss: 109.915 | Train Acc: 61.178
13 Train Loss: 107.340 | Train Acc: 62.403
14 Train Loss: 104.710 | Train Acc: 63.032
15 Train Loss: 104.477 | Train Acc: 63.214
16 Train Loss: 101.257 | Train Acc: 64.411
17 Train Loss: 98.610 | Train Acc: 65.289
18 Train Loss: 97.118 | Train Acc: 65.651
19 Train Loss: 96.737 | Train Acc: 65.908
20 Train Loss: 87.745 | Train Acc: 69.433
21 Train Loss: 86.109 | Train Acc: 70.255
22 Train Loss: 85.400 | Train Acc: 70.246
23 Train Loss: 84.588 | Train Acc: 70.703
24 Train Loss: 83.135 | Train Acc: 71.074
25 Train Loss: 81.757 | Train Acc: 71.788
26 Train Loss: 80.598 | Train Acc: 72.106
27 Train Loss: 79.886 | Train Acc: 72.435
28 Train Loss: 78.732 | Train Acc: 72.641
29 Train Loss: 76.849 | Train Acc: 73.433
30 Train Loss: 75.938 | Train Acc: 73.968
31 Train Loss: 74.692 | Train Acc: 74.365
32 Train Loss: 73.950 | Train Acc: 74.487
33 Train Loss: 73.058 | Train Acc: 74.884
34 Train Loss: 72.153 | Train Acc: 74.948
35 Train Loss: 70.949 | Train Acc: 75.609
36 Train Loss: 70.393 | Train Acc: 75.649
37 Train Loss: 69.765 | Train Acc: 76.190
38 Train Loss: 68.185 | Train Acc: 76.727
39 Train Loss: 67.688 | Train Acc: 76.972
40 Train Loss: 63.789 | Train Acc: 78.782
41 Train Loss: 63.040 | Train Acc: 79.281
42 Train Loss: 62.839 | Train Acc: 79.232
43 Train Loss: 62.405 | Train Acc: 79.527
44 Train Loss: 62.017 | Train Acc: 79.595
45 Train Loss: 61.878 | Train Acc: 79.733
46 Train Loss: 61.352 | Train Acc: 80.004
47 Train Loss: 61.107 | Train Acc: 80.080
48 Train Loss: 60.844 | Train Acc: 79.958
49 Train Loss: 60.520 | Train Acc: 80.182
50 Train Loss: 60.273 | Train Acc: 80.251
51 Train Loss: 59.891 | Train Acc: 80.411
52 Train Loss: 59.653 | Train Acc: 80.515
53 Train Loss: 59.492 | Train Acc: 80.617
54 Train Loss: 59.172 | Train Acc: 80.721
55 Train Loss: 58.740 | Train Acc: 80.792
56 Train Loss: 58.416 | Train Acc: 81.030
57 Train Loss: 58.011 | Train Acc: 81.186
58 Train Loss: 57.920 | Train Acc: 81.218
59 Train Loss: 57.534 | Train Acc: 81.315
60 Train Loss: 55.847 | Train Acc: 82.212
61 Train Loss: 55.728 | Train Acc: 82.319
62 Train Loss: 55.653 | Train Acc: 82.377
63 Train Loss: 55.393 | Train Acc: 82.461
64 Train Loss: 55.292 | Train Acc: 82.511
65 Train Loss: 55.213 | Train Acc: 82.397
66 Train Loss: 55.100 | Train Acc: 82.613
67 Train Loss: 54.941 | Train Acc: 82.523
68 Train Loss: 54.822 | Train Acc: 82.715
69 Train Loss: 54.832 | Train Acc: 82.601
70 Train Loss: 54.607 | Train Acc: 82.693
71 Train Loss: 54.513 | Train Acc: 82.739
72 Train Loss: 54.251 | Train Acc: 82.920
73 Train Loss: 54.225 | Train Acc: 82.868
74 Train Loss: 54.255 | Train Acc: 82.850
75 Train Loss: 53.985 | Train Acc: 82.936
