==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
nodeId:  1 , imgSize :  32
Running nodeId:  1
trainInputDict[data].shape :  torch.Size([40000, 3, 32, 32])
copy.shape :  torch.Size([40000, 3072])
copyLabel.shape :  torch.Size([40000])
Class 0 has 4000 instances after oversampling
Class 1 has 4000 instances after oversampling
Class 2 has 4000 instances after oversampling
Class 3 has 4000 instances after oversampling
Class 4 has 4000 instances after oversampling
Class 5 has 4000 instances after oversampling
Class 6 has 4000 instances after oversampling
Class 7 has 4000 instances after oversampling
Class 8 has 4000 instances after oversampling
Class 9 has 4000 instances after oversampling
0 Train Loss: 90.246 | Train Acc: 37.407
1 Train Loss: 69.574 | Train Acc: 51.885
2 Train Loss: 63.593 | Train Acc: 55.773
3 Train Loss: 59.739 | Train Acc: 58.550
4 Train Loss: 56.630 | Train Acc: 60.803
5 Train Loss: 53.959 | Train Acc: 62.998
6 Train Loss: 51.578 | Train Acc: 64.690
7 Train Loss: 49.464 | Train Acc: 66.118
8 Train Loss: 47.607 | Train Acc: 67.520
9 Train Loss: 46.009 | Train Acc: 68.757
10 Train Loss: 44.656 | Train Acc: 69.720
11 Train Loss: 43.493 | Train Acc: 70.580
12 Train Loss: 42.476 | Train Acc: 71.132
13 Train Loss: 41.600 | Train Acc: 71.805
14 Train Loss: 40.886 | Train Acc: 72.317
15 Train Loss: 40.136 | Train Acc: 72.755
16 Train Loss: 39.075 | Train Acc: 73.522
17 Train Loss: 38.145 | Train Acc: 74.265
18 Train Loss: 37.521 | Train Acc: 74.552
19 Train Loss: 37.153 | Train Acc: 74.725
20 Train Loss: 36.331 | Train Acc: 75.272
21 Train Loss: 35.639 | Train Acc: 75.935
22 Train Loss: 35.111 | Train Acc: 76.332
23 Train Loss: 34.502 | Train Acc: 76.722
24 Train Loss: 33.939 | Train Acc: 77.210
25 Train Loss: 31.217 | Train Acc: 79.415
26 Train Loss: 29.941 | Train Acc: 80.868
27 Train Loss: 29.535 | Train Acc: 81.195
28 Train Loss: 29.196 | Train Acc: 81.537
29 Train Loss: 28.880 | Train Acc: 81.817
30 Train Loss: 28.579 | Train Acc: 82.052
31 Train Loss: 28.284 | Train Acc: 82.205
32 Train Loss: 27.995 | Train Acc: 82.438
33 Train Loss: 27.710 | Train Acc: 82.703
34 Train Loss: 27.428 | Train Acc: 82.933
35 Train Loss: 27.149 | Train Acc: 83.130
36 Train Loss: 26.871 | Train Acc: 83.323
37 Train Loss: 26.597 | Train Acc: 83.530
38 Train Loss: 26.324 | Train Acc: 83.760
39 Train Loss: 26.054 | Train Acc: 83.938
40 Train Loss: 25.787 | Train Acc: 84.183
41 Train Loss: 25.522 | Train Acc: 84.407
42 Train Loss: 25.258 | Train Acc: 84.597
43 Train Loss: 24.997 | Train Acc: 84.823
44 Train Loss: 24.736 | Train Acc: 85.062
45 Train Loss: 24.478 | Train Acc: 85.293
46 Train Loss: 24.221 | Train Acc: 85.525
47 Train Loss: 23.965 | Train Acc: 85.740
48 Train Loss: 23.712 | Train Acc: 85.912
49 Train Loss: 23.459 | Train Acc: 86.168
50 Train Loss: 23.011 | Train Acc: 86.400
51 Train Loss: 22.876 | Train Acc: 86.345
52 Train Loss: 22.649 | Train Acc: 86.597
53 Train Loss: 22.476 | Train Acc: 86.795
54 Train Loss: 22.326 | Train Acc: 87.002
55 Train Loss: 22.188 | Train Acc: 87.125
56 Train Loss: 22.057 | Train Acc: 87.222
57 Train Loss: 21.931 | Train Acc: 87.353
58 Train Loss: 21.810 | Train Acc: 87.468
59 Train Loss: 21.691 | Train Acc: 87.565
60 Train Loss: 21.573 | Train Acc: 87.683
61 Train Loss: 21.458 | Train Acc: 87.770
62 Train Loss: 21.345 | Train Acc: 87.880
63 Train Loss: 21.233 | Train Acc: 87.978
64 Train Loss: 21.122 | Train Acc: 88.082
65 Train Loss: 21.011 | Train Acc: 88.207
66 Train Loss: 20.902 | Train Acc: 88.305
67 Train Loss: 20.793 | Train Acc: 88.410
68 Train Loss: 20.684 | Train Acc: 88.502
69 Train Loss: 20.576 | Train Acc: 88.573
70 Train Loss: 20.468 | Train Acc: 88.675
71 Train Loss: 20.361 | Train Acc: 88.750
72 Train Loss: 20.254 | Train Acc: 88.840
73 Train Loss: 20.147 | Train Acc: 88.938
74 Train Loss: 20.041 | Train Acc: 89.030
75 Train Loss: 19.635 | Train Acc: 89.365
76 Train Loss: 19.516 | Train Acc: 89.500
77 Train Loss: 19.462 | Train Acc: 89.547
78 Train Loss: 19.410 | Train Acc: 89.588
79 Train Loss: 19.361 | Train Acc: 89.620
80 Train Loss: 19.313 | Train Acc: 89.665
81 Train Loss: 19.266 | Train Acc: 89.722
82 Train Loss: 19.219 | Train Acc: 89.760
83 Train Loss: 19.173 | Train Acc: 89.800
84 Train Loss: 19.127 | Train Acc: 89.847
85 Train Loss: 19.082 | Train Acc: 89.890
86 Train Loss: 19.036 | Train Acc: 89.938
87 Train Loss: 18.991 | Train Acc: 89.975
88 Train Loss: 18.946 | Train Acc: 90.022
89 Train Loss: 18.901 | Train Acc: 90.060
90 Train Loss: 18.856 | Train Acc: 90.118
91 Train Loss: 18.811 | Train Acc: 90.150
92 Train Loss: 18.766 | Train Acc: 90.198
93 Train Loss: 18.722 | Train Acc: 90.228
94 Train Loss: 18.677 | Train Acc: 90.260
95 Train Loss: 18.632 | Train Acc: 90.282
96 Train Loss: 18.587 | Train Acc: 90.315
97 Train Loss: 18.542 | Train Acc: 90.360
98 Train Loss: 18.498 | Train Acc: 90.395
99 Train Loss: 18.453 | Train Acc: 90.425
CNN trained successfully...
image_next_flat.shape :  torch.Size([40000, 12544])
printing expected split from k means
{0: 0, 5: 1, 2: 1, 8: 0, 1: 1, 9: 0, 6: 1, 7: 1, 3: 1, 4: 1}
Printing final_dict items...
{8: 0, 0: 0, 9: 0, 1: 0, 2: 0, 3: 1, 7: 1, 5: 1, 4: 1, 6: 1}
expectedMlpLabels.shape :  torch.Size([40000])
0 Loss: 22.941 | Acc: 79.397
1 Loss: 18.155 | Acc: 84.207
2 Loss: 16.332 | Acc: 86.310
3 Loss: 15.189 | Acc: 87.263
4 Loss: 14.803 | Acc: 87.170
5 Loss: 13.611 | Acc: 88.578
6 Loss: 13.191 | Acc: 89.097
7 Loss: 11.652 | Acc: 90.280
8 Loss: 10.666 | Acc: 91.203
9 Loss: 9.659 | Acc: 92.078
10 Loss: 8.849 | Acc: 92.823
11 Loss: 7.188 | Acc: 94.270
12 Loss: 6.323 | Acc: 95.100
13 Loss: 5.793 | Acc: 95.380
