==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
len(trainInputDict["data"]):  49900 ,  len(valInputDict["data"]):  10 ,  len(testInputDict["data"]):  10000
nodeId:  1 , imgTensorShape :  torch.Size([49900, 3, 32, 32])
nodeId: 1 ,  parentId: 0 ,  level: 0 ,  lchildId: -1 ,  rchildId: -1 ,  isLeaf: False ,  leafClass: -1 ,  numClasses: 10
Running nodeId:  1
0 Train Loss: 190.325 | Train Acc: 33.457
1 Train Loss: 156.767 | Train Acc: 44.880
2 Train Loss: 144.812 | Train Acc: 49.341
3 Train Loss: 137.042 | Train Acc: 52.090
4 Train Loss: 131.526 | Train Acc: 53.964
5 Train Loss: 128.003 | Train Acc: 55.345
6 Train Loss: 124.680 | Train Acc: 56.355
7 Train Loss: 121.871 | Train Acc: 57.421
8 Train Loss: 119.486 | Train Acc: 58.240
9 Train Loss: 116.721 | Train Acc: 59.397
10 Train Loss: 114.589 | Train Acc: 60.056
11 Train Loss: 112.776 | Train Acc: 60.553
12 Train Loss: 110.798 | Train Acc: 61.461
13 Train Loss: 108.047 | Train Acc: 62.729
14 Train Loss: 106.177 | Train Acc: 63.058
15 Train Loss: 104.059 | Train Acc: 63.868
16 Train Loss: 102.530 | Train Acc: 64.487
17 Train Loss: 100.321 | Train Acc: 65.341
18 Train Loss: 99.419 | Train Acc: 65.519
19 Train Loss: 97.503 | Train Acc: 66.349
20 Train Loss: 95.907 | Train Acc: 66.976
21 Train Loss: 94.702 | Train Acc: 67.361
22 Train Loss: 93.524 | Train Acc: 67.950
23 Train Loss: 92.144 | Train Acc: 68.335
24 Train Loss: 91.446 | Train Acc: 68.293
25 Train Loss: 87.084 | Train Acc: 70.377
26 Train Loss: 86.363 | Train Acc: 70.631
27 Train Loss: 85.821 | Train Acc: 70.908
28 Train Loss: 85.441 | Train Acc: 70.954
29 Train Loss: 85.061 | Train Acc: 71.134
30 Train Loss: 84.525 | Train Acc: 71.170
31 Train Loss: 84.443 | Train Acc: 71.210
32 Train Loss: 83.747 | Train Acc: 71.497
33 Train Loss: 83.809 | Train Acc: 71.505
34 Train Loss: 83.130 | Train Acc: 71.788
35 Train Loss: 82.501 | Train Acc: 71.928
36 Train Loss: 82.544 | Train Acc: 71.900
37 Train Loss: 81.751 | Train Acc: 72.253
38 Train Loss: 81.522 | Train Acc: 72.154
39 Train Loss: 81.112 | Train Acc: 72.565
40 Train Loss: 80.914 | Train Acc: 72.503
41 Train Loss: 80.537 | Train Acc: 72.575
42 Train Loss: 79.823 | Train Acc: 72.886
43 Train Loss: 79.703 | Train Acc: 72.898
44 Train Loss: 79.491 | Train Acc: 73.080
45 Train Loss: 79.084 | Train Acc: 73.100
46 Train Loss: 78.879 | Train Acc: 73.184
47 Train Loss: 78.333 | Train Acc: 73.435
48 Train Loss: 77.960 | Train Acc: 73.567
49 Train Loss: 77.615 | Train Acc: 73.800
50 Train Loss: 75.925 | Train Acc: 74.535
51 Train Loss: 75.785 | Train Acc: 74.517
52 Train Loss: 75.598 | Train Acc: 74.609
53 Train Loss: 75.500 | Train Acc: 74.665
54 Train Loss: 75.547 | Train Acc: 74.593
55 Train Loss: 75.161 | Train Acc: 74.876
56 Train Loss: 75.077 | Train Acc: 74.778
57 Train Loss: 75.052 | Train Acc: 74.749
58 Train Loss: 74.827 | Train Acc: 74.926
59 Train Loss: 74.739 | Train Acc: 74.944
60 Train Loss: 74.602 | Train Acc: 74.924
61 Train Loss: 74.442 | Train Acc: 75.060
62 Train Loss: 74.396 | Train Acc: 74.982
63 Train Loss: 74.143 | Train Acc: 75.104
