==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
len(trainInputDict["data"]):  50000 ,  len(valInputDict["data"]):  0 ,  len(testInputDict["data"]):  10000
nodeId:  1 , imgTensorShape :  torch.Size([50000, 3, 32, 32])
nodeId: 1 ,  parentId: 0 ,  level: 0 ,  lchildId: -1 ,  rchildId: -1 ,  isLeaf: False ,  leafClass: -1 ,  numClasses: 10 ,  numData: 50000
Running nodeId:  1
0 Train Loss: 184.331 | Train Acc: 35.594
1 Train Loss: 156.986 | Train Acc: 45.550
2 Train Loss: 143.024 | Train Acc: 50.202
3 Train Loss: 133.872 | Train Acc: 53.052
4 Train Loss: 128.128 | Train Acc: 55.610
5 Train Loss: 124.072 | Train Acc: 56.642
6 Train Loss: 120.928 | Train Acc: 57.856
7 Train Loss: 119.191 | Train Acc: 58.362
8 Train Loss: 115.601 | Train Acc: 59.762
9 Train Loss: 113.113 | Train Acc: 60.756
10 Train Loss: 111.613 | Train Acc: 61.390
11 Train Loss: 109.033 | Train Acc: 62.284
12 Train Loss: 107.403 | Train Acc: 63.028
13 Train Loss: 105.135 | Train Acc: 63.486
14 Train Loss: 102.759 | Train Acc: 64.640
15 Train Loss: 100.968 | Train Acc: 65.326
16 Train Loss: 99.422 | Train Acc: 65.902
17 Train Loss: 98.420 | Train Acc: 66.026
18 Train Loss: 96.983 | Train Acc: 66.594
19 Train Loss: 96.742 | Train Acc: 67.034
20 Train Loss: 91.688 | Train Acc: 68.830
21 Train Loss: 91.066 | Train Acc: 68.994
22 Train Loss: 90.212 | Train Acc: 69.388
23 Train Loss: 90.099 | Train Acc: 69.268
24 Train Loss: 89.615 | Train Acc: 69.568
25 Train Loss: 89.408 | Train Acc: 69.580
26 Train Loss: 88.419 | Train Acc: 70.114
27 Train Loss: 88.295 | Train Acc: 70.004
28 Train Loss: 87.661 | Train Acc: 70.208
29 Train Loss: 87.482 | Train Acc: 70.330
30 Train Loss: 86.917 | Train Acc: 70.456
31 Train Loss: 86.426 | Train Acc: 70.676
32 Train Loss: 85.984 | Train Acc: 71.006
33 Train Loss: 85.628 | Train Acc: 70.884
34 Train Loss: 85.329 | Train Acc: 71.016
35 Train Loss: 84.569 | Train Acc: 71.282
36 Train Loss: 84.272 | Train Acc: 71.398
37 Train Loss: 84.005 | Train Acc: 71.634
38 Train Loss: 83.766 | Train Acc: 71.666
39 Train Loss: 83.259 | Train Acc: 71.824
40 Train Loss: 81.343 | Train Acc: 72.730
41 Train Loss: 81.136 | Train Acc: 72.734
42 Train Loss: 80.919 | Train Acc: 72.796
43 Train Loss: 80.958 | Train Acc: 72.738
44 Train Loss: 80.734 | Train Acc: 72.824
45 Train Loss: 80.562 | Train Acc: 72.924
46 Train Loss: 80.417 | Train Acc: 73.044
47 Train Loss: 80.327 | Train Acc: 72.850
48 Train Loss: 79.979 | Train Acc: 73.124
49 Train Loss: 79.837 | Train Acc: 73.110
50 Train Loss: 79.757 | Train Acc: 73.176
51 Train Loss: 79.503 | Train Acc: 73.344
52 Train Loss: 79.568 | Train Acc: 73.372
53 Train Loss: 79.355 | Train Acc: 73.428
54 Train Loss: 79.097 | Train Acc: 73.414
55 Train Loss: 79.039 | Train Acc: 73.514
56 Train Loss: 78.963 | Train Acc: 73.524
57 Train Loss: 78.562 | Train Acc: 73.746
58 Train Loss: 78.553 | Train Acc: 73.714
59 Train Loss: 78.543 | Train Acc: 73.618
60 Train Loss: 77.557 | Train Acc: 74.096
61 Train Loss: 77.403 | Train Acc: 74.116
62 Train Loss: 77.401 | Train Acc: 74.148
63 Train Loss: 77.312 | Train Acc: 74.250
64 Train Loss: 77.294 | Train Acc: 74.156
65 Train Loss: 77.271 | Train Acc: 74.204
66 Train Loss: 77.155 | Train Acc: 74.176
67 Train Loss: 77.142 | Train Acc: 74.200
68 Train Loss: 77.007 | Train Acc: 74.430
69 Train Loss: 76.965 | Train Acc: 74.362
70 Train Loss: 76.985 | Train Acc: 74.254
71 Train Loss: 76.905 | Train Acc: 74.376
72 Train Loss: 76.820 | Train Acc: 74.400
73 Train Loss: 76.723 | Train Acc: 74.426
74 Train Loss: 76.751 | Train Acc: 74.532
75 Train Loss: 76.608 | Train Acc: 74.356
76 Train Loss: 76.576 | Train Acc: 74.498
77 Train Loss: 76.485 | Train Acc: 74.478
78 Train Loss: 76.399 | Train Acc: 74.560
79 Train Loss: 76.412 | Train Acc: 74.482
80 Train Loss: 75.996 | Train Acc: 74.590
81 Train Loss: 75.988 | Train Acc: 74.718
82 Train Loss: 75.945 | Train Acc: 74.672
83 Train Loss: 75.917 | Train Acc: 74.706
84 Train Loss: 75.870 | Train Acc: 74.752
85 Train Loss: 75.869 | Train Acc: 74.748
86 Train Loss: 75.852 | Train Acc: 74.774
87 Train Loss: 75.824 | Train Acc: 74.796
88 Train Loss: 75.795 | Train Acc: 74.830
89 Train Loss: 75.761 | Train Acc: 74.750
90 Train Loss: 75.726 | Train Acc: 74.806
91 Train Loss: 75.700 | Train Acc: 74.838
92 Train Loss: 75.719 | Train Acc: 74.810
93 Train Loss: 75.663 | Train Acc: 74.884
94 Train Loss: 75.641 | Train Acc: 74.810
95 Train Loss: 75.619 | Train Acc: 74.940
96 Train Loss: 75.599 | Train Acc: 74.812
97 Train Loss: 75.542 | Train Acc: 74.874
98 Train Loss: 75.548 | Train Acc: 74.918
99 Train Loss: 75.501 | Train Acc: 74.892
CNN trained successfully...
image_next_flat.shape :  torch.Size([50000, 12544])
printing expected split from k means
{9: 0, 1: 1, 8: 0, 7: 1, 4: 1, 0: 0, 3: 1, 2: 1, 5: 1, 6: 1}
Printing final_dict items...
{9: 0, 1: 1, 8: 0, 7: 1, 4: 1, 0: 0, 3: 1, 2: 1, 5: 1, 6: 1}
Image Statistics : L R :  15000 35000
expectedMlpLabels.shape :  torch.Size([50000])
0 Loss: 51.831 | Acc: 79.496
1 Loss: 43.486 | Acc: 83.858
2 Loss: 39.324 | Acc: 85.696
3 Loss: 37.039 | Acc: 86.628
4 Loss: 34.417 | Acc: 87.664
5 Loss: 31.947 | Acc: 88.632
6 Loss: 29.807 | Acc: 89.638
7 Loss: 28.140 | Acc: 90.136
8 Loss: 25.943 | Acc: 90.846
9 Loss: 24.576 | Acc: 91.476
10 Loss: 19.247 | Acc: 93.414
11 Loss: 17.638 | Acc: 94.072
12 Loss: 16.024 | Acc: 94.494
13 Loss: 15.272 | Acc: 94.752
14 Loss: 14.347 | Acc: 95.164
15 Loss: 12.810 | Acc: 95.710
16 Loss: 12.556 | Acc: 95.682
17 Loss: 12.078 | Acc: 95.938
18 Loss: 11.323 | Acc: 96.262
19 Loss: 10.313 | Acc: 96.618
20 Loss: 8.574 | Acc: 97.140
21 Loss: 7.529 | Acc: 97.476
22 Loss: 7.691 | Acc: 97.458
23 Loss: 7.123 | Acc: 97.714
24 Loss: 6.815 | Acc: 97.846
25 Loss: 6.796 | Acc: 97.788
26 Loss: 6.122 | Acc: 98.052
27 Loss: 6.104 | Acc: 98.026
28 Loss: 5.944 | Acc: 98.058
29 Loss: 5.908 | Acc: 98.060
30 Loss: 5.094 | Acc: 98.406
31 Loss: 4.715 | Acc: 98.526
32 Loss: 4.953 | Acc: 98.458
33 Loss: 4.508 | Acc: 98.602
34 Loss: 4.533 | Acc: 98.580
35 Loss: 4.160 | Acc: 98.698
36 Loss: 4.188 | Acc: 98.694
37 Loss: 4.123 | Acc: 98.728
38 Loss: 4.167 | Acc: 98.676
39 Loss: 3.857 | Acc: 98.766
40 Loss: 3.818 | Acc: 98.814
41 Loss: 3.741 | Acc: 98.854
42 Loss: 3.763 | Acc: 98.844
43 Loss: 3.568 | Acc: 98.856
44 Loss: 3.514 | Acc: 98.938
45 Loss: 3.503 | Acc: 98.862
46 Loss: 3.379 | Acc: 98.960
47 Loss: 3.460 | Acc: 98.928
48 Loss: 3.486 | Acc: 98.898
49 Loss: 3.436 | Acc: 98.940
50 Loss: 3.332 | Acc: 98.966
51 Loss: 3.272 | Acc: 99.008
52 Loss: 3.236 | Acc: 98.992
53 Loss: 3.350 | Acc: 98.940
54 Loss: 3.239 | Acc: 98.980
55 Loss: 3.246 | Acc: 99.062
56 Loss: 3.187 | Acc: 99.000
57 Loss: 3.216 | Acc: 98.984
58 Loss: 3.259 | Acc: 98.998
59 Loss: 3.175 | Acc: 98.992
MLP trained successfully...
# of Left images:  15000.0
# of Right images:  35000.0
giniRightRatio:  0.8571428571428572
giniLeftRatio:  0.6666666666666667
impurityDrop:  0.7755102040816326
giniGain:  0.1244897959183674
lclasses:  [5000, 0, 0, 0, 0, 0, 0, 0, 5000, 5000]
rclasses:  [0, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 0, 0]
noOfLeftClasses:  3
noOfRightClasses:  7
lTrainDict[data].shape:  torch.Size([15000, 16, 28, 28])   lTrainDict[label].shape:  torch.Size([15000])
rTrainDict[data].shape:  torch.Size([35000, 16, 28, 28])   rTrainDict[label].shape:  torch.Size([35000])
RETURNING FROM WORK...
nodeId:  2 , imgTensorShape :  torch.Size([15000, 16, 28, 28])
nodeId: 2 ,  parentId: 1 ,  level: 1 ,  lchildId: -1 ,  rchildId: -1 ,  isLeaf: False ,  leafClass: -1 ,  numClasses: 3 ,  numData: 15000
nodeId:  3 , imgTensorShape :  torch.Size([35000, 16, 28, 28])
nodeId: 3 ,  parentId: 1 ,  level: 1 ,  lchildId: -1 ,  rchildId: -1 ,  isLeaf: False ,  leafClass: -1 ,  numClasses: 7 ,  numData: 35000
Running nodeId:  2
0 Train Loss: 69.570 | Train Acc: 69.740
1 Train Loss: 50.525 | Train Acc: 80.140
2 Train Loss: 44.684 | Train Acc: 82.813
3 Train Loss: 40.471 | Train Acc: 84.773
4 Train Loss: 38.953 | Train Acc: 85.167
5 Train Loss: 37.103 | Train Acc: 86.253
6 Train Loss: 35.508 | Train Acc: 86.693
7 Train Loss: 33.015 | Train Acc: 88.000
8 Train Loss: 31.446 | Train Acc: 88.507
9 Train Loss: 30.851 | Train Acc: 88.853
10 Train Loss: 31.104 | Train Acc: 88.640
11 Train Loss: 28.553 | Train Acc: 89.500
12 Train Loss: 27.977 | Train Acc: 89.713
13 Train Loss: 26.284 | Train Acc: 90.493
14 Train Loss: 25.575 | Train Acc: 90.613
15 Train Loss: 24.646 | Train Acc: 90.860
16 Train Loss: 23.788 | Train Acc: 91.433
17 Train Loss: 23.156 | Train Acc: 91.453
18 Train Loss: 22.253 | Train Acc: 92.127
19 Train Loss: 21.633 | Train Acc: 92.260
20 Train Loss: 18.804 | Train Acc: 93.653
21 Train Loss: 18.184 | Train Acc: 93.660
22 Train Loss: 17.753 | Train Acc: 94.080
23 Train Loss: 17.534 | Train Acc: 94.327
24 Train Loss: 17.221 | Train Acc: 94.320
25 Train Loss: 16.884 | Train Acc: 94.347
26 Train Loss: 16.659 | Train Acc: 94.553
27 Train Loss: 16.193 | Train Acc: 94.827
28 Train Loss: 16.049 | Train Acc: 94.800
29 Train Loss: 15.540 | Train Acc: 95.113
30 Train Loss: 15.545 | Train Acc: 94.873
31 Train Loss: 14.929 | Train Acc: 95.220
32 Train Loss: 14.683 | Train Acc: 95.320
33 Train Loss: 14.443 | Train Acc: 95.473
34 Train Loss: 13.990 | Train Acc: 95.867
35 Train Loss: 13.933 | Train Acc: 95.693
36 Train Loss: 13.536 | Train Acc: 95.867
37 Train Loss: 13.663 | Train Acc: 95.673
38 Train Loss: 13.052 | Train Acc: 96.060
39 Train Loss: 12.761 | Train Acc: 96.313
40 Train Loss: 11.822 | Train Acc: 96.893
41 Train Loss: 11.623 | Train Acc: 97.027
42 Train Loss: 11.502 | Train Acc: 97.027
43 Train Loss: 11.354 | Train Acc: 97.120
44 Train Loss: 11.448 | Train Acc: 97.080
45 Train Loss: 11.130 | Train Acc: 97.207
