==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
len(trainInputDict["data"]):  50000 ,  len(valInputDict["data"]):  0 ,  len(testInputDict["data"]):  10000
nodeId:  1 , imgTensorShape :  torch.Size([50000, 3, 32, 32])
nodeId: 1 ,  parentId: 0 ,  level: 0 ,  lchildId: -1 ,  rchildId: -1 ,  isLeaf: False ,  leafClass: -1 ,  numClasses: 10 ,  numData: 50000
Running nodeId:  1
0 Train Loss: 187.887 | Train Acc: 34.034
1 Train Loss: 157.817 | Train Acc: 44.744
2 Train Loss: 143.623 | Train Acc: 49.754
3 Train Loss: 135.404 | Train Acc: 52.516
4 Train Loss: 128.854 | Train Acc: 54.508
5 Train Loss: 125.634 | Train Acc: 55.902
6 Train Loss: 123.702 | Train Acc: 56.590
7 Train Loss: 120.420 | Train Acc: 57.726
8 Train Loss: 118.539 | Train Acc: 58.578
9 Train Loss: 116.018 | Train Acc: 59.448
10 Train Loss: 114.044 | Train Acc: 60.326
11 Train Loss: 112.370 | Train Acc: 60.908
12 Train Loss: 110.683 | Train Acc: 61.442
13 Train Loss: 109.141 | Train Acc: 62.158
14 Train Loss: 107.564 | Train Acc: 62.800
15 Train Loss: 106.126 | Train Acc: 63.092
16 Train Loss: 104.874 | Train Acc: 63.794
17 Train Loss: 103.174 | Train Acc: 64.218
18 Train Loss: 102.180 | Train Acc: 64.582
19 Train Loss: 100.705 | Train Acc: 65.330
20 Train Loss: 96.659 | Train Acc: 66.840
21 Train Loss: 95.892 | Train Acc: 67.102
22 Train Loss: 95.391 | Train Acc: 67.442
23 Train Loss: 94.966 | Train Acc: 67.480
24 Train Loss: 94.296 | Train Acc: 67.554
25 Train Loss: 93.999 | Train Acc: 67.830
26 Train Loss: 93.319 | Train Acc: 68.046
27 Train Loss: 92.889 | Train Acc: 68.272
28 Train Loss: 92.247 | Train Acc: 68.446
29 Train Loss: 91.694 | Train Acc: 68.536
30 Train Loss: 91.102 | Train Acc: 68.842
31 Train Loss: 90.606 | Train Acc: 68.894
32 Train Loss: 90.504 | Train Acc: 69.096
33 Train Loss: 89.522 | Train Acc: 69.452
34 Train Loss: 89.340 | Train Acc: 69.408
35 Train Loss: 88.763 | Train Acc: 69.706
36 Train Loss: 88.364 | Train Acc: 69.830
37 Train Loss: 87.698 | Train Acc: 70.126
38 Train Loss: 87.247 | Train Acc: 70.294
39 Train Loss: 86.986 | Train Acc: 70.358
40 Train Loss: 85.137 | Train Acc: 71.248
41 Train Loss: 84.891 | Train Acc: 71.276
42 Train Loss: 84.682 | Train Acc: 71.214
43 Train Loss: 84.382 | Train Acc: 71.514
44 Train Loss: 84.238 | Train Acc: 71.512
45 Train Loss: 84.047 | Train Acc: 71.638
46 Train Loss: 83.974 | Train Acc: 71.584
47 Train Loss: 83.855 | Train Acc: 71.708
48 Train Loss: 83.409 | Train Acc: 71.872
49 Train Loss: 83.467 | Train Acc: 71.662
50 Train Loss: 83.213 | Train Acc: 71.792
51 Train Loss: 82.977 | Train Acc: 72.030
52 Train Loss: 82.983 | Train Acc: 72.096
53 Train Loss: 82.662 | Train Acc: 72.124
54 Train Loss: 82.605 | Train Acc: 71.972
55 Train Loss: 82.306 | Train Acc: 72.180
56 Train Loss: 82.219 | Train Acc: 72.212
57 Train Loss: 82.069 | Train Acc: 72.414
58 Train Loss: 81.677 | Train Acc: 72.410
59 Train Loss: 81.547 | Train Acc: 72.524
60 Train Loss: 80.841 | Train Acc: 72.870
61 Train Loss: 80.702 | Train Acc: 72.842
62 Train Loss: 80.651 | Train Acc: 72.914
63 Train Loss: 80.608 | Train Acc: 72.882
64 Train Loss: 80.481 | Train Acc: 72.938
65 Train Loss: 80.462 | Train Acc: 72.978
66 Train Loss: 80.399 | Train Acc: 73.012
67 Train Loss: 80.279 | Train Acc: 73.034
68 Train Loss: 80.217 | Train Acc: 73.048
69 Train Loss: 80.193 | Train Acc: 73.034
70 Train Loss: 80.096 | Train Acc: 73.124
71 Train Loss: 79.968 | Train Acc: 73.150
72 Train Loss: 79.969 | Train Acc: 73.190
73 Train Loss: 79.841 | Train Acc: 73.138
74 Train Loss: 79.817 | Train Acc: 73.208
75 Train Loss: 79.744 | Train Acc: 73.228
76 Train Loss: 79.642 | Train Acc: 73.272
77 Train Loss: 79.637 | Train Acc: 73.262
78 Train Loss: 79.562 | Train Acc: 73.280
79 Train Loss: 79.369 | Train Acc: 73.326
80 Train Loss: 79.077 | Train Acc: 73.506
81 Train Loss: 79.067 | Train Acc: 73.498
82 Train Loss: 79.027 | Train Acc: 73.506
83 Train Loss: 79.009 | Train Acc: 73.546
84 Train Loss: 78.962 | Train Acc: 73.540
85 Train Loss: 78.927 | Train Acc: 73.614
86 Train Loss: 78.902 | Train Acc: 73.636
87 Train Loss: 78.867 | Train Acc: 73.530
88 Train Loss: 78.823 | Train Acc: 73.614
89 Train Loss: 78.805 | Train Acc: 73.626
90 Train Loss: 78.772 | Train Acc: 73.666
91 Train Loss: 78.762 | Train Acc: 73.644
92 Train Loss: 78.718 | Train Acc: 73.576
93 Train Loss: 78.730 | Train Acc: 73.588
94 Train Loss: 78.659 | Train Acc: 73.650
95 Train Loss: 78.622 | Train Acc: 73.680
96 Train Loss: 78.603 | Train Acc: 73.640
97 Train Loss: 78.552 | Train Acc: 73.740
98 Train Loss: 78.545 | Train Acc: 73.744
99 Train Loss: 78.525 | Train Acc: 73.708
CNN trained successfully...
image_next_flat.shape :  torch.Size([50000, 12544])
printing expected split from k means
{9: 0, 1: 0, 8: 0, 7: 1, 6: 1, 4: 1, 0: 0, 3: 1, 2: 1, 5: 1}
Printing final_dict items...
{8: 0, 0: 0, 9: 0, 1: 0, 2: 0, 3: 1, 5: 1, 7: 1, 4: 1, 6: 1}
Image Statistics : L R :  25000 25000
expectedMlpLabels.shape :  torch.Size([50000])
0 Loss: 84.023 | Acc: 81.292
1 Loss: 73.489 | Acc: 83.950
2 Loss: 69.703 | Acc: 84.836
3 Loss: 65.963 | Acc: 85.664
4 Loss: 63.778 | Acc: 86.224
5 Loss: 61.760 | Acc: 86.602
6 Loss: 59.766 | Acc: 86.996
7 Loss: 57.142 | Acc: 87.554
8 Loss: 55.239 | Acc: 87.986
9 Loss: 53.268 | Acc: 88.514
10 Loss: 47.063 | Acc: 89.874
11 Loss: 44.764 | Acc: 90.280
12 Loss: 43.485 | Acc: 90.616
13 Loss: 42.422 | Acc: 90.818
14 Loss: 40.739 | Acc: 91.196
15 Loss: 39.066 | Acc: 91.744
16 Loss: 38.224 | Acc: 91.772
17 Loss: 36.492 | Acc: 92.140
18 Loss: 34.882 | Acc: 92.496
19 Loss: 34.066 | Acc: 92.894
20 Loss: 30.194 | Acc: 93.706
21 Loss: 28.846 | Acc: 94.016
22 Loss: 28.162 | Acc: 94.206
23 Loss: 27.319 | Acc: 94.390
24 Loss: 26.773 | Acc: 94.498
25 Loss: 26.157 | Acc: 94.502
26 Loss: 24.794 | Acc: 94.948
27 Loss: 25.343 | Acc: 94.762
28 Loss: 23.825 | Acc: 95.140
29 Loss: 24.204 | Acc: 95.000
30 Loss: 21.748 | Acc: 95.578
31 Loss: 21.045 | Acc: 95.790
32 Loss: 20.893 | Acc: 95.808
33 Loss: 21.150 | Acc: 95.848
34 Loss: 20.238 | Acc: 96.064
35 Loss: 20.052 | Acc: 96.010
36 Loss: 20.131 | Acc: 96.044
37 Loss: 19.902 | Acc: 95.990
