==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
len(trainInputDict["data"]):  50000 ,  len(valInputDict["data"]):  0 ,  len(testInputDict["data"]):  10000
nodeId:  1 , imgTensorShape :  torch.Size([50000, 3, 32, 32])
nodeId: 1 ,  parentId: 0 ,  level: 0 ,  lchildId: -1 ,  rchildId: -1 ,  isLeaf: False ,  leafClass: -1 ,  numClasses: 10 ,  numData: 50000
Running nodeId:  1
0 Train Loss: 185.904 | Train Acc: 34.458
1 Train Loss: 155.882 | Train Acc: 45.264
2 Train Loss: 146.548 | Train Acc: 48.380
3 Train Loss: 138.511 | Train Acc: 51.624
4 Train Loss: 133.207 | Train Acc: 53.284
5 Train Loss: 128.363 | Train Acc: 54.942
6 Train Loss: 125.222 | Train Acc: 56.076
7 Train Loss: 122.465 | Train Acc: 57.308
8 Train Loss: 121.113 | Train Acc: 57.786
9 Train Loss: 117.938 | Train Acc: 58.630
10 Train Loss: 115.909 | Train Acc: 59.410
11 Train Loss: 113.800 | Train Acc: 60.350
12 Train Loss: 111.913 | Train Acc: 60.940
13 Train Loss: 109.940 | Train Acc: 61.820
14 Train Loss: 109.379 | Train Acc: 61.922
15 Train Loss: 106.541 | Train Acc: 62.864
16 Train Loss: 105.433 | Train Acc: 63.200
17 Train Loss: 103.177 | Train Acc: 64.110
18 Train Loss: 102.626 | Train Acc: 64.370
19 Train Loss: 100.449 | Train Acc: 65.218
20 Train Loss: 96.860 | Train Acc: 66.668
21 Train Loss: 95.998 | Train Acc: 66.942
22 Train Loss: 95.283 | Train Acc: 67.200
23 Train Loss: 94.679 | Train Acc: 67.424
24 Train Loss: 94.136 | Train Acc: 67.750
25 Train Loss: 93.727 | Train Acc: 67.816
26 Train Loss: 93.188 | Train Acc: 68.156
27 Train Loss: 92.632 | Train Acc: 68.356
28 Train Loss: 92.000 | Train Acc: 68.298
29 Train Loss: 91.354 | Train Acc: 68.684
30 Train Loss: 90.973 | Train Acc: 68.796
31 Train Loss: 90.355 | Train Acc: 68.976
32 Train Loss: 89.883 | Train Acc: 69.214
33 Train Loss: 89.725 | Train Acc: 69.144
34 Train Loss: 88.708 | Train Acc: 69.756
35 Train Loss: 88.661 | Train Acc: 69.614
36 Train Loss: 88.260 | Train Acc: 69.794
37 Train Loss: 87.612 | Train Acc: 70.074
38 Train Loss: 87.257 | Train Acc: 70.286
39 Train Loss: 86.403 | Train Acc: 70.530
40 Train Loss: 84.776 | Train Acc: 71.390
41 Train Loss: 84.616 | Train Acc: 71.322
42 Train Loss: 84.445 | Train Acc: 71.490
43 Train Loss: 84.233 | Train Acc: 71.382
44 Train Loss: 83.909 | Train Acc: 71.554
45 Train Loss: 83.913 | Train Acc: 71.628
46 Train Loss: 83.640 | Train Acc: 71.716
47 Train Loss: 83.445 | Train Acc: 71.862
48 Train Loss: 83.277 | Train Acc: 71.764
49 Train Loss: 83.177 | Train Acc: 71.846
50 Train Loss: 82.934 | Train Acc: 71.906
51 Train Loss: 82.889 | Train Acc: 71.894
52 Train Loss: 82.562 | Train Acc: 71.928
53 Train Loss: 82.349 | Train Acc: 72.128
54 Train Loss: 82.278 | Train Acc: 72.120
55 Train Loss: 82.074 | Train Acc: 72.268
56 Train Loss: 81.732 | Train Acc: 72.332
57 Train Loss: 81.715 | Train Acc: 72.314
58 Train Loss: 81.540 | Train Acc: 72.424
59 Train Loss: 81.218 | Train Acc: 72.534
60 Train Loss: 80.546 | Train Acc: 72.842
61 Train Loss: 80.435 | Train Acc: 72.890
62 Train Loss: 80.351 | Train Acc: 72.964
63 Train Loss: 80.311 | Train Acc: 72.928
