==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
len(trainInputDict["data"]):  50000 ,  len(valInputDict["data"]):  0 ,  len(testInputDict["data"]):  10000
nodeId:  1 , imgTensorShape :  torch.Size([50000, 3, 32, 32])
nodeId: 1 ,  parentId: 0 ,  level: 0 ,  lchildId: -1 ,  rchildId: -1 ,  isLeaf: False ,  leafClass: -1 ,  numClasses: 10 ,  numData: 50000
Running nodeId:  1
0 Train Loss: 175.618 | Train Acc: 38.988
1 Train Loss: 144.670 | Train Acc: 49.306
2 Train Loss: 134.909 | Train Acc: 52.708
3 Train Loss: 128.578 | Train Acc: 54.868
4 Train Loss: 125.822 | Train Acc: 55.948
5 Train Loss: 121.000 | Train Acc: 57.922
6 Train Loss: 119.960 | Train Acc: 58.044
7 Train Loss: 116.950 | Train Acc: 59.136
8 Train Loss: 115.081 | Train Acc: 59.936
9 Train Loss: 112.976 | Train Acc: 60.828
10 Train Loss: 111.551 | Train Acc: 61.122
11 Train Loss: 109.778 | Train Acc: 62.078
12 Train Loss: 108.096 | Train Acc: 62.452
13 Train Loss: 107.674 | Train Acc: 62.558
14 Train Loss: 105.909 | Train Acc: 63.040
15 Train Loss: 104.294 | Train Acc: 63.808
16 Train Loss: 102.606 | Train Acc: 64.438
17 Train Loss: 101.367 | Train Acc: 65.088
18 Train Loss: 99.956 | Train Acc: 65.406
19 Train Loss: 99.095 | Train Acc: 65.818
20 Train Loss: 94.807 | Train Acc: 67.474
21 Train Loss: 94.397 | Train Acc: 67.708
22 Train Loss: 93.790 | Train Acc: 67.938
23 Train Loss: 93.245 | Train Acc: 68.090
24 Train Loss: 92.698 | Train Acc: 68.390
25 Train Loss: 92.345 | Train Acc: 68.472
26 Train Loss: 91.929 | Train Acc: 68.474
27 Train Loss: 91.436 | Train Acc: 68.700
28 Train Loss: 91.071 | Train Acc: 68.740
29 Train Loss: 90.265 | Train Acc: 69.154
30 Train Loss: 90.103 | Train Acc: 69.292
31 Train Loss: 89.626 | Train Acc: 69.394
32 Train Loss: 89.120 | Train Acc: 69.698
33 Train Loss: 88.684 | Train Acc: 69.820
34 Train Loss: 88.300 | Train Acc: 69.916
35 Train Loss: 87.739 | Train Acc: 69.986
36 Train Loss: 87.520 | Train Acc: 70.236
37 Train Loss: 86.940 | Train Acc: 70.350
38 Train Loss: 86.657 | Train Acc: 70.516
39 Train Loss: 86.249 | Train Acc: 70.610
40 Train Loss: 84.332 | Train Acc: 71.494
41 Train Loss: 84.204 | Train Acc: 71.500
42 Train Loss: 83.894 | Train Acc: 71.682
43 Train Loss: 83.775 | Train Acc: 71.664
44 Train Loss: 83.678 | Train Acc: 71.566
45 Train Loss: 83.384 | Train Acc: 71.674
46 Train Loss: 83.225 | Train Acc: 71.884
47 Train Loss: 83.143 | Train Acc: 71.938
48 Train Loss: 82.932 | Train Acc: 72.032
49 Train Loss: 82.845 | Train Acc: 72.098
50 Train Loss: 82.541 | Train Acc: 72.226
51 Train Loss: 82.497 | Train Acc: 72.162
52 Train Loss: 82.306 | Train Acc: 72.190
53 Train Loss: 82.107 | Train Acc: 72.246
54 Train Loss: 81.969 | Train Acc: 72.402
55 Train Loss: 81.836 | Train Acc: 72.446
56 Train Loss: 81.664 | Train Acc: 72.524
57 Train Loss: 81.478 | Train Acc: 72.556
58 Train Loss: 81.311 | Train Acc: 72.362
59 Train Loss: 81.156 | Train Acc: 72.510
60 Train Loss: 80.415 | Train Acc: 72.998
61 Train Loss: 80.284 | Train Acc: 73.110
62 Train Loss: 80.253 | Train Acc: 72.984
63 Train Loss: 80.211 | Train Acc: 73.012
64 Train Loss: 80.081 | Train Acc: 73.120
65 Train Loss: 80.082 | Train Acc: 73.114
66 Train Loss: 79.929 | Train Acc: 73.174
