==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
len(trainInputDict["data"]):  50000 ,  len(valInputDict["data"]):  0 ,  len(testInputDict["data"]):  10000
nodeId:  1 , imgTensorShape :  torch.Size([50000, 3, 32, 32])
nodeId: 1 ,  parentId: 0 ,  level: 0 ,  lchildId: -1 ,  rchildId: -1 ,  isLeaf: False ,  leafClass: -1 ,  numClasses: 10 ,  numData: 50000
Running nodeId:  1
0 Train Loss: 183.624 | Train Acc: 35.952
1 Train Loss: 154.125 | Train Acc: 46.098
2 Train Loss: 141.353 | Train Acc: 50.228
3 Train Loss: 135.366 | Train Acc: 52.638
4 Train Loss: 128.859 | Train Acc: 54.816
5 Train Loss: 125.502 | Train Acc: 56.102
6 Train Loss: 121.289 | Train Acc: 57.772
7 Train Loss: 119.199 | Train Acc: 58.440
8 Train Loss: 117.474 | Train Acc: 59.024
9 Train Loss: 114.164 | Train Acc: 60.250
10 Train Loss: 112.591 | Train Acc: 60.694
11 Train Loss: 110.344 | Train Acc: 61.746
12 Train Loss: 109.104 | Train Acc: 62.388
13 Train Loss: 107.922 | Train Acc: 62.510
14 Train Loss: 106.303 | Train Acc: 63.082
15 Train Loss: 105.544 | Train Acc: 63.100
16 Train Loss: 103.291 | Train Acc: 64.244
17 Train Loss: 103.177 | Train Acc: 64.204
18 Train Loss: 101.711 | Train Acc: 64.700
19 Train Loss: 100.667 | Train Acc: 65.042
20 Train Loss: 96.700 | Train Acc: 66.930
21 Train Loss: 95.880 | Train Acc: 67.078
22 Train Loss: 95.423 | Train Acc: 67.274
23 Train Loss: 95.222 | Train Acc: 67.168
24 Train Loss: 94.574 | Train Acc: 67.400
25 Train Loss: 94.167 | Train Acc: 67.668
26 Train Loss: 93.846 | Train Acc: 67.650
27 Train Loss: 93.643 | Train Acc: 67.836
28 Train Loss: 92.827 | Train Acc: 68.162
29 Train Loss: 92.607 | Train Acc: 68.042
30 Train Loss: 91.967 | Train Acc: 68.542
31 Train Loss: 91.811 | Train Acc: 68.456
32 Train Loss: 91.190 | Train Acc: 68.520
33 Train Loss: 90.851 | Train Acc: 68.802
34 Train Loss: 90.199 | Train Acc: 69.148
35 Train Loss: 90.162 | Train Acc: 69.012
36 Train Loss: 89.316 | Train Acc: 69.330
37 Train Loss: 89.091 | Train Acc: 69.518
38 Train Loss: 88.883 | Train Acc: 69.544
39 Train Loss: 88.396 | Train Acc: 69.802
40 Train Loss: 86.559 | Train Acc: 70.578
41 Train Loss: 86.287 | Train Acc: 70.638
42 Train Loss: 86.130 | Train Acc: 70.598
43 Train Loss: 85.873 | Train Acc: 70.972
44 Train Loss: 85.688 | Train Acc: 70.982
45 Train Loss: 85.665 | Train Acc: 70.932
46 Train Loss: 85.671 | Train Acc: 70.914
47 Train Loss: 85.373 | Train Acc: 71.106
48 Train Loss: 85.100 | Train Acc: 70.948
49 Train Loss: 84.971 | Train Acc: 71.026
50 Train Loss: 84.792 | Train Acc: 71.180
51 Train Loss: 84.543 | Train Acc: 71.348
52 Train Loss: 84.628 | Train Acc: 71.270
53 Train Loss: 84.338 | Train Acc: 71.266
54 Train Loss: 84.112 | Train Acc: 71.440
55 Train Loss: 84.090 | Train Acc: 71.496
56 Train Loss: 83.661 | Train Acc: 71.614
57 Train Loss: 83.608 | Train Acc: 71.612
58 Train Loss: 83.615 | Train Acc: 71.664
59 Train Loss: 83.407 | Train Acc: 71.612
60 Train Loss: 82.445 | Train Acc: 72.106
61 Train Loss: 82.437 | Train Acc: 72.104
62 Train Loss: 82.312 | Train Acc: 72.162
63 Train Loss: 82.273 | Train Acc: 72.140
64 Train Loss: 82.180 | Train Acc: 72.170
65 Train Loss: 82.101 | Train Acc: 72.268
66 Train Loss: 82.105 | Train Acc: 72.292
67 Train Loss: 81.965 | Train Acc: 72.214
68 Train Loss: 81.928 | Train Acc: 72.226
69 Train Loss: 81.906 | Train Acc: 72.302
70 Train Loss: 81.771 | Train Acc: 72.378
71 Train Loss: 81.689 | Train Acc: 72.330
72 Train Loss: 81.636 | Train Acc: 72.492
73 Train Loss: 81.649 | Train Acc: 72.412
74 Train Loss: 81.520 | Train Acc: 72.520
75 Train Loss: 81.473 | Train Acc: 72.488
76 Train Loss: 81.396 | Train Acc: 72.610
77 Train Loss: 81.339 | Train Acc: 72.548
78 Train Loss: 81.237 | Train Acc: 72.620
79 Train Loss: 81.160 | Train Acc: 72.632
80 Train Loss: 80.804 | Train Acc: 72.796
81 Train Loss: 80.787 | Train Acc: 72.722
82 Train Loss: 80.769 | Train Acc: 72.712
83 Train Loss: 80.737 | Train Acc: 72.838
84 Train Loss: 80.709 | Train Acc: 72.804
85 Train Loss: 80.664 | Train Acc: 72.740
86 Train Loss: 80.658 | Train Acc: 72.788
87 Train Loss: 80.598 | Train Acc: 72.820
88 Train Loss: 80.574 | Train Acc: 72.910
89 Train Loss: 80.569 | Train Acc: 72.842
90 Train Loss: 80.542 | Train Acc: 72.896
91 Train Loss: 80.519 | Train Acc: 72.884
92 Train Loss: 80.458 | Train Acc: 72.898
93 Train Loss: 80.432 | Train Acc: 72.932
94 Train Loss: 80.445 | Train Acc: 72.880
95 Train Loss: 80.362 | Train Acc: 72.934
96 Train Loss: 80.367 | Train Acc: 72.954
97 Train Loss: 80.339 | Train Acc: 72.952
98 Train Loss: 80.336 | Train Acc: 72.874
99 Train Loss: 80.277 | Train Acc: 73.010
CNN trained successfully...
image_next_flat.shape :  torch.Size([50000, 12544])
printing expected split from k means
{9: 0, 1: 1, 8: 0, 7: 1, 6: 1, 4: 1, 0: 0, 3: 1, 2: 1, 5: 1}
Printing final_dict items...
{9: 0, 1: 1, 8: 0, 7: 1, 6: 1, 4: 1, 0: 0, 3: 1, 2: 1, 5: 1}
Image Statistics : L R :  15000 35000
expectedMlpLabels.shape :  torch.Size([50000])
0 Loss: 51.702 | Acc: 79.544
1 Loss: 45.028 | Acc: 82.088
2 Loss: 42.317 | Acc: 83.538
3 Loss: 39.893 | Acc: 84.382
4 Loss: 37.655 | Acc: 85.682
5 Loss: 35.791 | Acc: 86.294
6 Loss: 34.659 | Acc: 86.934
7 Loss: 33.201 | Acc: 87.514
8 Loss: 31.464 | Acc: 88.084
9 Loss: 30.605 | Acc: 88.382
10 Loss: 26.755 | Acc: 89.952
11 Loss: 25.027 | Acc: 90.660
12 Loss: 24.168 | Acc: 91.062
13 Loss: 23.288 | Acc: 91.448
14 Loss: 22.390 | Acc: 91.690
15 Loss: 21.872 | Acc: 92.012
16 Loss: 20.907 | Acc: 92.242
17 Loss: 19.787 | Acc: 92.690
18 Loss: 19.168 | Acc: 93.038
19 Loss: 18.525 | Acc: 93.230
20 Loss: 16.065 | Acc: 94.226
21 Loss: 15.679 | Acc: 94.406
22 Loss: 15.218 | Acc: 94.530
23 Loss: 14.751 | Acc: 94.724
24 Loss: 14.411 | Acc: 94.840
25 Loss: 14.176 | Acc: 94.930
26 Loss: 13.538 | Acc: 95.196
27 Loss: 13.585 | Acc: 95.176
28 Loss: 12.781 | Acc: 95.498
29 Loss: 12.675 | Acc: 95.482
30 Loss: 12.013 | Acc: 95.806
31 Loss: 11.327 | Acc: 96.032
32 Loss: 11.464 | Acc: 95.982
33 Loss: 11.108 | Acc: 96.058
34 Loss: 11.019 | Acc: 96.174
35 Loss: 10.998 | Acc: 96.204
36 Loss: 10.965 | Acc: 96.130
37 Loss: 10.471 | Acc: 96.360
38 Loss: 10.481 | Acc: 96.406
39 Loss: 10.306 | Acc: 96.464
40 Loss: 10.102 | Acc: 96.592
41 Loss: 9.836 | Acc: 96.654
42 Loss: 10.019 | Acc: 96.486
43 Loss: 9.794 | Acc: 96.578
44 Loss: 9.806 | Acc: 96.588
45 Loss: 9.346 | Acc: 96.836
46 Loss: 9.719 | Acc: 96.634
