==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
len(trainInputDict["data"]):  50000 ,  len(valInputDict["data"]):  0 ,  len(testInputDict["data"]):  10000
nodeId:  1 , imgTensorShape :  torch.Size([50000, 3, 32, 32])
nodeId: 1 ,  parentId: 0 ,  level: 0 ,  lchildId: -1 ,  rchildId: -1 ,  isLeaf: False ,  leafClass: -1 ,  numClasses: 10
Running nodeId:  1
0 Train Loss: 179.824 | Train Acc: 36.820
1 Train Loss: 153.134 | Train Acc: 46.978
2 Train Loss: 141.463 | Train Acc: 50.204
3 Train Loss: 132.070 | Train Acc: 54.084
4 Train Loss: 128.033 | Train Acc: 55.198
5 Train Loss: 123.373 | Train Acc: 56.914
6 Train Loss: 120.153 | Train Acc: 58.314
7 Train Loss: 116.676 | Train Acc: 59.414
8 Train Loss: 113.765 | Train Acc: 60.644
9 Train Loss: 110.970 | Train Acc: 61.422
10 Train Loss: 109.419 | Train Acc: 62.270
11 Train Loss: 107.652 | Train Acc: 62.716
12 Train Loss: 105.688 | Train Acc: 63.408
13 Train Loss: 104.107 | Train Acc: 63.886
14 Train Loss: 102.925 | Train Acc: 64.250
15 Train Loss: 101.469 | Train Acc: 64.914
16 Train Loss: 100.429 | Train Acc: 65.142
17 Train Loss: 98.985 | Train Acc: 65.734
18 Train Loss: 97.521 | Train Acc: 66.170
19 Train Loss: 96.629 | Train Acc: 66.546
20 Train Loss: 92.803 | Train Acc: 68.312
21 Train Loss: 92.425 | Train Acc: 68.508
22 Train Loss: 91.542 | Train Acc: 68.776
23 Train Loss: 91.418 | Train Acc: 68.756
24 Train Loss: 90.845 | Train Acc: 68.876
25 Train Loss: 90.351 | Train Acc: 69.258
26 Train Loss: 89.966 | Train Acc: 69.172
27 Train Loss: 89.765 | Train Acc: 69.342
28 Train Loss: 89.149 | Train Acc: 69.600
29 Train Loss: 88.681 | Train Acc: 69.760
30 Train Loss: 88.208 | Train Acc: 70.004
31 Train Loss: 87.996 | Train Acc: 69.928
32 Train Loss: 87.536 | Train Acc: 70.214
33 Train Loss: 87.284 | Train Acc: 70.288
34 Train Loss: 86.773 | Train Acc: 70.424
35 Train Loss: 86.082 | Train Acc: 70.602
36 Train Loss: 86.059 | Train Acc: 70.608
37 Train Loss: 85.530 | Train Acc: 70.724
38 Train Loss: 85.358 | Train Acc: 70.972
39 Train Loss: 84.886 | Train Acc: 70.950
40 Train Loss: 83.164 | Train Acc: 71.842
41 Train Loss: 82.870 | Train Acc: 71.958
42 Train Loss: 82.660 | Train Acc: 72.052
43 Train Loss: 82.533 | Train Acc: 72.172
44 Train Loss: 82.337 | Train Acc: 72.290
45 Train Loss: 82.304 | Train Acc: 72.290
46 Train Loss: 81.972 | Train Acc: 72.342
47 Train Loss: 81.904 | Train Acc: 72.326
48 Train Loss: 81.860 | Train Acc: 72.452
49 Train Loss: 81.582 | Train Acc: 72.576
50 Train Loss: 81.361 | Train Acc: 72.576
51 Train Loss: 81.250 | Train Acc: 72.666
52 Train Loss: 81.273 | Train Acc: 72.616
53 Train Loss: 80.821 | Train Acc: 72.638
54 Train Loss: 80.818 | Train Acc: 72.738
55 Train Loss: 80.681 | Train Acc: 72.740
56 Train Loss: 80.362 | Train Acc: 73.010
57 Train Loss: 80.296 | Train Acc: 72.964
58 Train Loss: 80.264 | Train Acc: 72.986
59 Train Loss: 79.962 | Train Acc: 73.070
60 Train Loss: 79.285 | Train Acc: 73.434
61 Train Loss: 79.169 | Train Acc: 73.500
62 Train Loss: 79.081 | Train Acc: 73.468
63 Train Loss: 79.036 | Train Acc: 73.506
